CIN,Company Name,Company Status,Company Class,Registered State,Date of Registration,Director Name
"U72900KA2015PTC000001","ACME Private Limited","Active","Private","Karnataka","2015-03-12","SHOULD_NOT_IMPORT"
"U72900KA2016PTC000002","ACME PVT LTD","Active","Private","Karnataka","2016-01-08","SHOULD_NOT_IMPORT"
"U72900KA2017PTC000003","Acme Private Limited","Active","Private","Karnataka","2017-06-21","SHOULD_NOT_IMPORT"
"U72200MH2018PTC000004","Tekno Solutions Private Limited","Active","Private","Maharashtra","2018-04-02","SHOULD_NOT_IMPORT"
"U72200MH2019PTC000005","Techno Solutions Private Limited","Active","Private","Maharashtra","2019-09-15","SHOULD_NOT_IMPORT"
"U74999DL2020PTC000006","Zephyr Quill Analytics Private Limited","Active","Private","Delhi","2020-02-11","SHOULD_NOT_IMPORT"
"U74999GJ2021PTC000007","Nimbus Lattice Works Private Limited","Active","Private","Gujarat","2021-07-30","SHOULD_NOT_IMPORT"
"U62013TN2022PTC000008","Copper Finch Systems Private Limited","Active","Private","Tamil Nadu","2022-11-03","SHOULD_NOT_IMPORT"
"U62013WB2014PTC000009","Maple Drift Consulting Private Limited","Active","Private","West Bengal","2014-05-19","SHOULD_NOT_IMPORT"
"U62013RJ2013PTC000010","Orchid Vault Software Private Limited","Active","Private","Rajasthan","2013-08-27","SHOULD_NOT_IMPORT"
"U62013UP2012PTC000011","Silver Fern Logistics Private Limited","Active","Private","Uttar Pradesh","2012-12-01","SHOULD_NOT_IMPORT"
"U62013HR2011PTC000012","Amber Ridge Foods Private Limited","Active","Private","Haryana","2011-03-14","SHOULD_NOT_IMPORT"
"U62013PB2010PTC000013","Cedar Peak Apparel Private Limited","Active","Private","Punjab","2010-10-22","SHOULD_NOT_IMPORT"
"U62013KL2009PTC000014","Indigo Harbor Marine Private Limited","Active","Private","Kerala","2009-01-09","SHOULD_NOT_IMPORT"
"U62013AP2008PTC000015","Granite Sparrow Media Private Limited","Active","Private","Andhra Pradesh","2008-06-18","SHOULD_NOT_IMPORT"
"U62013TS2007PTC000016","Willow Circuit Labs Private Limited","Active","Private","Telangana","2007-09-05","SHOULD_NOT_IMPORT"
"U62013MP2006PTC000017","Saffron Mesa Trading Private Limited","Active","Private","Madhya Pradesh","2006-04-28","SHOULD_NOT_IMPORT"
"U62013CG2005PTC000018","Pine Compass Education Private Limited","Active","Private","Chhattisgarh","2005-11-16","SHOULD_NOT_IMPORT"
"U62013OR2004PTC000019","Velvet Anchor Health Private Limited","Active","Private","Odisha","2004-02-07","SHOULD_NOT_IMPORT"
"U62013BR2003PTC000020","Cobalt Meadow Energy Private Limited","Active","Private","Bihar","2003-07-25","SHOULD_NOT_IMPORT"
"U62013JH2002PTC000021","Ivory Lantern Retail Private Limited","Active","Private","Jharkhand","2002-12-13","SHOULD_NOT_IMPORT"
"U62013AS2001PTC000022","Quartz Bloom Agro Private Limited","Active","Private","Assam","2001-05-31","SHOULD_NOT_IMPORT"
"U62013UK2000PTC000023","Ember Hollow Design Private Limited","Active","Private","Uttarakhand","2000-08-08","SHOULD_NOT_IMPORT"
"U62013HP1999PTC000024","Northwind Parcel Services Private Limited","Active","Private","Himachal Pradesh","1999-03-20","SHOULD_NOT_IMPORT"
"U62013GA1998PTC000025","Coral Byte Networks Private Limited","Active","Private","Goa","1998-10-04","SHOULD_NOT_IMPORT"
"AAB-1001","Horizon Quill Advisors LLP","Active","LLP","Maharashtra","2016-05-12","SHOULD_NOT_IMPORT"
"U74999DL2017OPC000026","Lone Oak Studio OPC Private Limited","Active","OPC","Delhi","2017-01-19","SHOULD_NOT_IMPORT"
"U74999MH2015PTC000027","Brightwave Technologies Private Limited","Strike Off","Private","Maharashtra","2015-09-09","SHOULD_NOT_IMPORT"
"U74999KA2014PTC000028","Bright Wave Technologies Pvt. Ltd.","Active","Private","Karnataka","2014-11-28","SHOULD_NOT_IMPORT"
"U74999TN2013PTC000029","Sundara Spice Exports Private Limited","Active","Private","Tamil Nadu","2013-02-14","SHOULD_NOT_IMPORT"
"U74999GJ2012PTC000030","Kite & Loom Crafts Private Limited","Active","Private","Gujarat","2012-06-06","SHOULD_NOT_IMPORT"
"U74999WB2011PTC000031","Riverstone Optics Private Limited","Active","Private","West Bengal","2011-08-17","SHOULD_NOT_IMPORT"
"U74999RJ2010PTC000032","Dusty Compass Trails Private Limited","Active","Private","Rajasthan","2010-04-23","SHOULD_NOT_IMPORT"
